Symbol,Rank,Confidence,Signal,Sector,Price,Entry,Target,Stop,Thesis,Trapped,Timing,Notes
NNE,1,100/100,ðŸ”´ Short Squeeze,Nuclear,$27.61,Current $27.61 or pullback to $26.23,$33.13 (+20%) on squeeze,$24.85 (-10%),"Short interest 31.7%, 7.5 days to cover. Price up -8.9% in 5 days. Shorts bleeding.",shorts,Wait for volume spike >2x average to confirm covering started,"Signals: capitulation, laggard_catchup, panic_recovery"
SIDU,2,100/100,ðŸ”´ Short Squeeze,Space,$4.33,Current $4.33 or pullback to $1.76,$2.33 (90% of prior high),$1.68 (below recent low),"Crashed -31.9% from recent high. Recovering 145.3% on 3.2x volume. Retail panic sold, institutions b",retail,Wait for 10 AM to confirm morning panic is over,"Signals: SECOND_DAY_MOMENTUM, panic_recovery, short_squeeze"
MARA,3,100/100,ðŸ”´ Short Squeeze,Crypto,$9.91,Current $9.91,$14.86 (+50% recovery),$8.50 (below 60d low),"Down -57.7% from 52w high. Volume died (to 0.9x), now spiking (0.8x). Sellers exhausted, smart money",retail,Enter on any pullback. The bottom is likely in.,"Signals: capitulation, panic_recovery, short_squeeze"
OKLO,4,100/100,ðŸŸ¡ Panic Recovery,Nuclear,$77.80,Current $77.80,$116.70 (+50% recovery),$67.32 (below 60d low),"Down -59.9% from 52w high. Volume died (to 0.7x), now spiking (0.7x). Sellers exhausted, smart money",retail,Enter on any pullback. The bottom is likely in.,"Signals: capitulation, laggard_catchup, panic_recovery"
LCID,5,100/100,ðŸ”´ Short Squeeze,EV/Clean,$11.15,Current $11.15 or pullback to $10.59,$13.38 (+20%) on squeeze,$10.03 (-10%),"Short interest 45.4%, 5.7 days to cover. Price up -5.6% in 5 days. Shorts bleeding.",shorts,Wait for volume spike >2x average to confirm covering started,"Signals: capitulation, panic_recovery, short_squeeze"
SOUN,6,100/100,ðŸ”´ Short Squeeze,AI/Semis,$10.60,Current $10.60,$15.90 (+50% recovery),$9.37 (below 60d low),"Down -53.6% from 52w high. Volume died (to 0.6x), now spiking (0.8x). Sellers exhausted, smart money",retail,Enter on any pullback. The bottom is likely in.,"Signals: capitulation, panic_recovery, short_squeeze"
RXRX,7,100/100,ðŸ”´ Short Squeeze,Biotech,$4.20,Current $4.20 or pullback to $3.99,$5.04 (+20%) on squeeze,$3.78 (-10%),"Short interest 31.3%, 7.3 days to cover. Price up -4.5% in 5 days. Shorts bleeding.",shorts,Wait for volume spike >2x average to confirm covering started,"Signals: capitulation, panic_recovery, short_squeeze"
ARM,8,100/100,ðŸ”´ Short Squeeze,AI/Semis,$114.73,Current $114.73 or pullback to $108.38,$129.83 (90% of prior high),$102.96 (below recent low),"Crashed -24.9% from recent high. Recovering 5.9% on 1.0x volume. Retail panic sold, institutions buy",retail,Wait for 10 AM to confirm morning panic is over,"Signals: capitulation, panic_recovery, short_squeeze"
SMCI,9,100/100,ðŸ”´ Short Squeeze,AI/Semis,$30.96,Current $30.96,$46.44 (+50% recovery),$27.57 (below 60d low),"Down -53.4% from 52w high. Volume died (to 0.7x), now spiking (1.0x). Sellers exhausted, smart money",retail,Enter on any pullback. The bottom is likely in.,"Signals: capitulation, panic_recovery, short_squeeze"
MNTS,10,100/100,ðŸŸ¡ Panic Recovery,Space,$5.74,Current $5.74,$8.61 (+50% recovery),$4.49 (below 60d low),"Down -96.7% from 52w high. Volume died (to 1.8x), now spiking (2.6x). Sellers exhausted, smart money",retail,Enter on any pullback. The bottom is likely in.,"Signals: capitulation, panic_recovery"
